Code,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
500249,2021-05-04,874.3,888.05,866.9,871.95,880.1884794578568,2361,290,2078125.0,1178,49.89,21.149999999999977,-2.349999999999909,1620086400.0
500250,2021-05-04,302.0,303.0,292.6,293.65,296.8739926739927,2730,397,810466.0,2244,82.2,10.399999999999977,-8.350000000000023,1620086400.0
500251,2021-05-04,791.1,795.0,772.5,775.95,781.1628396882242,23735,1523,18540900.0,7290,30.71,22.5,-15.149999999999977,1620086400.0
500252,2021-05-04,6285.0,6400.0,6285.0,6378.0,6352.724795640327,367,187,2331450.0,270,73.57,115.0,93.0,1620086400.0
500253,2021-05-04,411.0,418.75,407.1,408.15,413.9483098541062,139485,2646,57739580.0,44381,31.82,11.649999999999977,-2.8500000000000227,1620086400.0
500257,2021-05-04,1079.9,1079.9,1050.0,1057.25,1064.4593379418873,35586,1168,37879850.0,7318,20.56,29.90000000000009,-22.65000000000009,1620086400.0
500259,2021-05-04,45.45,45.45,45.45,45.45,45.44979146615335,3117,29,141667.0,3117,100.0,0.0,0.0,1620086400.0
500260,2021-05-04,995.9,995.9,948.05,958.25,972.5634778721502,22370,932,21756245.0,3083,13.78,47.85000000000002,-37.64999999999998,1620086400.0
500264,2021-05-04,92.95,99.4,88.05,95.75,95.00059049306171,13548,108,1287068.0,10380,76.62,11.350000000000009,2.799999999999997,1620086400.0
500265,2021-05-04,306.0,307.0,288.95,290.15,299.3835907335907,15540,646,4652421.0,10519,67.69,18.05000000000001,-15.850000000000023,1620086400.0
500266,2021-05-04,3557.3,3590.4,3501.0,3565.1,3573.8320355951055,899,228,3212875.0,553,61.51,89.40000000000009,7.799999999999727,1620086400.0
500267,2021-05-04,105.9,105.9,98.05,99.35,99.69857492442782,6947,42,692606.0,6527,93.95,7.8500000000000085,-6.550000000000011,1620086400.0
500268,2021-05-04,82.5,89.35,81.55,84.65,86.97278436535399,674502,6533,58663317.0,173428,25.71,7.799999999999997,2.1500000000000057,1620086400.0
500271,2021-05-04,906.0,920.8,890.5,897.95,903.8571138349022,14767,659,13347258.0,2969,20.11,30.299999999999955,-8.049999999999955,1620086400.0
500274,2021-05-04,6.35,6.35,5.8,5.8,6.192857142857143,1400,3,8670.0,1400,100.0,0.5499999999999998,-0.5499999999999998,1620086400.0
500279,2021-05-04,14.49,15.17,14.45,14.53,14.822862087044346,310899,579,4608413.0,187077,60.17,0.7200000000000006,0.03999999999999915,1620086400.0
500280,2021-05-04,266.5,270.45,257.85,259.25,264.7612536181256,10019,513,2652643.0,6468,64.56,12.599999999999966,-7.25,1620086400.0
500284,2021-05-04,33.0,38.3,33.0,37.7,35.6,75,11,2670.0,74,98.67,5.299999999999997,4.700000000000003,1620086400.0
500285,2021-05-04,61.45,63.25,61.1,61.6,62.39316481246864,512261,4480,31961585.0,247571,48.33,2.1499999999999986,0.14999999999999858,1620086400.0
500288,2021-05-04,72.0,72.05,65.25,65.25,69.01861384142697,3452592,15437,238293114.0,1828093,52.95,6.799999999999997,-6.75,1620086400.0
500290,2021-05-04,80720.9,80808.9,78391.1,78648.1,79377.03110704484,1093,863,86759095.0,196,17.93,2417.7999999999884,-2072.7999999999884,1620086400.0
500292,2021-05-04,240.8,245.0,238.1,241.95,241.0713766887802,20651,1090,4978365.0,13968,67.64,6.900000000000006,1.1499999999999773,1620086400.0
500294,2021-05-04,73.5,77.3,73.5,74.35,75.8121753233719,498188,3137,37768716.0,238648,47.9,3.799999999999997,0.8499999999999943,1620086400.0
500295,2021-05-04,256.7,262.4,251.05,257.8,256.80081152151575,746499,4888,191701549.0,105463,14.13,11.349999999999966,1.1000000000000227,1620086400.0
500296,2021-05-04,111.35,114.0,105.0,105.35,109.16416065911432,9710,263,1059984.0,6473,66.66,9.0,-6.0,1620086400.0
500298,2021-05-04,2463.0,2518.0,2364.0,2395.9,2441.586653956149,15735,1745,38418366.0,7979,50.71,154.0,-67.09999999999991,1620086400.0
500300,2021-05-04,1424.0,1447.9,1405.0,1416.1,1426.9420200991447,96223,3013,137304642.0,7196,7.48,42.90000000000009,-7.900000000000091,1620086400.0
500302,2021-05-04,1702.0,1726.0,1656.8,1664.7,1693.907668468196,26459,1401,44819103.0,6293,23.78,69.20000000000005,-37.299999999999955,1620086400.0
500304,2021-05-04,166.6,169.9,164.05,165.0,166.93005172701484,29965,953,5002059.0,17269,57.63,5.849999999999994,-1.5999999999999943,1620086400.0
500306,2021-05-04,38.25,38.25,36.75,36.9,37.73527394830807,169156,455,6383148.0,118817,70.24,1.5,-1.3500000000000014,1620086400.0
500307,2021-05-04,281.25,287.05,278.0,284.7,283.8905197720601,5791,62,1644010.0,5185,89.54,9.050000000000011,3.4499999999999886,1620086400.0
500312,2021-05-04,107.55,110.3,107.55,109.65,109.0053975955046,1705389,6127,185896606.0,131630,7.72,2.75,2.1000000000000085,1620086400.0
500313,2021-05-04,7.47,7.47,7.47,7.47,7.463636363636364,110,2,821.0,110,100.0,0.0,0.0,1620086400.0
500314,2021-05-04,25.0,27.0,24.2,24.8,26.051920042083115,19010,522,495247.0,10618,55.85,2.8000000000000007,-0.1999999999999993,1620086400.0
500317,2021-05-04,10.36,10.36,9.93,9.98,10.174276277443171,25735,257,261835.0,20848,81.01,0.4299999999999997,-0.379999999999999,1620086400.0
500319,2021-05-04,33.4,33.4,28.2,28.45,30.993103105907217,282011,676,8740396.0,227949,80.83,5.199999999999999,-4.949999999999999,1620086400.0
500325,2021-05-04,1954.0,1967.5,1911.0,1916.55,1938.666144079449,1021839,45654,1981004674.0,681569,66.7,56.5,-37.450000000000045,1620086400.0
500327,2021-05-04,15.5,15.5,13.8,14.14,14.346483867155182,42305,376,606928.0,18400,43.49,1.6999999999999993,-1.3599999999999994,1620086400.0
500330,2021-05-04,331.0,331.0,321.6,323.05,326.4401954089405,19037,678,6214442.0,6829,35.87,9.399999999999977,-7.949999999999989,1620086400.0
500331,2021-05-04,1811.0,1822.0,1791.0,1800.65,1804.3580201936088,19214,2087,34668935.0,6333,32.96,31.0,-10.349999999999909,1620086400.0
500333,2021-05-04,424.0,443.8,413.0,432.7,430.61004648128517,73578,1214,31683426.0,44185,60.05,30.80000000000001,8.699999999999989,1620086400.0
500335,2021-05-04,940.0,963.05,907.65,917.25,939.1959389912978,21374,1259,20074374.0,8576,40.12,55.39999999999998,-22.75,1620086400.0
500336,2021-05-04,454.0,459.0,420.2,431.6,436.1818227860923,39489,1849,17224384.0,19305,48.89,38.80000000000001,-22.399999999999977,1620086400.0
500338,2021-05-04,138.85,139.0,131.0,132.45,134.83725609756098,16400,416,2211331.0,6772,41.29,8.0,-6.400000000000006,1620086400.0
500339,2021-05-04,188.5,192.45,177.0,179.15,186.27564843776852,727325,8030,135482936.0,178333,24.52,15.449999999999989,-9.349999999999994,1620086400.0
500343,2021-05-04,22.55,26.0,22.55,23.8,24.399037883343354,8315,67,202878.0,4970,59.77,3.4499999999999993,1.25,1620086400.0
500346,2021-05-04,20.55,21.5,20.55,21.5,21.30586592178771,716,11,15255.0,625,87.29,0.9499999999999993,0.9499999999999993,1620086400.0
500350,2021-05-04,184.4,195.0,183.9,184.9,189.9813407049067,1447,70,274903.0,1175,81.2,11.099999999999994,0.5,1620086400.0
500354,2021-05-04,22.7,22.7,21.0,21.15,22.15214159781519,28927,189,640795.0,17512,60.54,1.6999999999999993,-1.5500000000000007,1620086400.0
500355,2021-05-04,296.6,302.7,286.45,288.55,295.34194825585365,73245,1498,21632321.0,19357,26.43,16.25,-8.050000000000011,1620086400.0
500356,2021-05-04,14.92,16.8,14.5,15.85,15.892938392938392,21978,271,349295.0,12053,54.84,2.3000000000000007,0.9299999999999997,1620086400.0
500357,2021-05-04,11.45,11.45,11.0,11.25,11.031357684355617,5804,20,64026.0,5804,100.0,0.4499999999999993,-0.1999999999999993,1620086400.0
500360,2021-05-04,26.35,27.15,26.05,27.15,26.141430948419302,601,6,15711.0,600,99.83,1.0999999999999979,0.7999999999999972,1620086400.0
500365,2021-05-04,14.3,14.65,14.0,14.15,14.160898088451532,88410,165,1251965.0,69879,79.04,0.6500000000000004,-0.15000000000000036,1620086400.0
500366,2021-05-04,4.75,4.76,4.2,4.22,4.251821424296828,2088750,8745,8880992.0,1126088,53.91,0.5599999999999996,-0.5300000000000002,1620086400.0
500367,2021-05-04,75.9,78.0,74.0,74.35,76.64163249865769,163896,1231,12561257.0,128762,78.56,4.0,-1.5500000000000114,1620086400.0
